model,map50,map50_95,precision_mp,recall_mr,diagnosis_macro_f1_disease_only,disease_miss_rate_no_det,fps_total,model_size_mb,params_m,mobile_edge_score
yolov8n,0.1353869331802059,0.0404678744614878,0.2286820265622126,0.242555321325284,0.6452380952380953,0.2533333333333333,124.17485785077544,6.037881851196289,3.011238,0.3711910058377399
yolov5nu,0.1152324743088797,0.0345417039709152,0.1918200491528639,0.2344902159754671,0.4875733585411004,0.2666666666666666,141.16118584836445,5.104066848754883,2.508854,0.3377084079682175
yolov5su,0.1166491884581507,0.0379372488619425,0.2075938480706425,0.2379080756013745,0.4804461075647516,0.2533333333333333,111.29701373541988,17.738710403442383,9.122966,0.284461658076071
yolov8s,0.1217643230858562,0.0386599459676529,0.2005450508882399,0.2468573151715757,0.4879242693049818,0.2533333333333333,108.91351978680665,21.55356788635254,11.136374,0.2769809765259906
yolov5n6u,0.1121618687639787,0.0332169246926738,0.2153700175549104,0.212328178694158,0.449874686716792,0.4666666666666667,121.520596952095,8.271753311157227,4.134136,0.2598929328885543
yolo11n,0.1135553009614801,0.0357553450980365,0.1988000405655803,0.2372207903780068,0.3659514300970947,0.52,113.71755020852648,5.297021865844727,2.59023,0.22321107354518
yolov9s,0.1102895633584643,0.0331068213221636,0.185795930926637,0.2165568532238061,0.3808744447042319,0.4666666666666667,110.696633558038,14.606881141662598,7.288182,0.2156545998815145
yolov9t,0.1207444699988475,0.0364521510231581,0.202532007078891,0.2397981099656357,0.3160283687943262,0.5733333333333334,126.93241375753608,4.506051063537598,2.005798,0.2126430160113553
yolo11s,0.1086564609003954,0.0339924650665233,0.1906686534736784,0.2292955326460481,0.2897669706180344,0.52,120.49587929239166,18.367639541625977,9.428566,0.1802876774211594
yolo26s,0.1189478486323011,0.0378798291226126,0.2167972104169031,0.1976374570446735,0.2851851851851851,0.68,108.27623164068343,19.450444221496586,9.949412,0.1340828304022908
yolo12n,0.0898287398976212,0.0261872078262525,0.1619197022763006,0.1653135738831615,0.1471471471471471,0.8133333333333334,116.25798668962533,5.342248916625977,2.568438,0.0975258494643518
yolo26n,0.1119684089699819,0.0345286417692465,0.2110019975088114,0.1837628865979381,0.0968421052631579,0.8666666666666667,135.876204474427,5.216679573059082,2.50458,0.0949736002816215
yolov10s,0.1177160855616017,0.0368074936887631,0.2182028934654196,0.1957689003436426,0.1481481481481481,0.8266666666666667,116.79184081988166,15.839296340942385,8.0679,0.0789473567246132
yolov10n,0.105746490144453,0.0369417018001243,0.1938044497828441,0.2134235395189003,0.0507936507936508,0.96,140.1782693872788,5.564569473266602,2.70782,0.0670639063988906
yolo12s,0.0659146136639266,0.0213481550867273,0.1366130744145146,0.1412156357388316,0.1693693693693694,0.88,81.61655315806456,18.134790420532227,9.25391,0.0286970451625018
